"!Template name","LANG_SE","LANG_EN"
"_priceplanPageTableRow10","                                <td>E-signering</td>        
                        <td>✓</td>                          
      <td>✓</td>                                <td>✓</td>  
                              <td>✓</td>","                                <td>E-signing</td>          
                      <td>✓</td>                            
    <td>✓</td>                                <td>✓</td>    
                            <td>✓</td>"
"_priceplanPageTableRow11","                                <td>E-legitimationssignering</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>E-ID signing</td>       
                         <td>✓</td>                         
       <td>✓</td>                                <td>✓</td> 
                               <td>✓</td>"
"_priceplanPageTableRow12","                                <td>E-arkiv</td>            
                    <td>✓</td>                              
  <td>✓</td>                                <td>✓</td>      
                          <td>✓</td>","                                <td>E-archive</td>          
                      <td>✓</td>                            
    <td>✓</td>                                <td>✓</td>    
                            <td>✓</td>"
"_priceplanPageTableRow13","                                <td>Processbevakning</td>   
                             <td>✓</td>                     
           <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Process monitoring</td> 
                               <td>✓</td>                   
             <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow14","                                <td>Påminnelser</td>        
                        <td>✓</td>                          
      <td>✓</td>                                <td>✓</td>  
                              <td>✓</td>","                                <td>Reminders</td>          
                      <td>✓</td>                            
    <td>✓</td>                                <td>✓</td>    
                            <td>✓</td>"
"_priceplanPageTableRow15","                                <td>Justera hälsningsmeddelande</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Edit invitation message</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow16","                                <td>Välj förfallodatum</td> 
                               <td>✓</td>                   
             <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Select expiary date</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow17","                                <td>Spara egna mallar</td>  
                              <td>✓</td>                    
            <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Save templates</td>     
                           <td>✓</td>                       
         <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow18","                                <td>Bifoga bilaga</td>      
                          <td>✓</td>                        
        <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Add attachment</td>     
                           <td>✓</td>                       
         <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow19","                                <td>Begär Bilagor</td>      
                          <td>✓</td>                        
        <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Request attachments</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow2","                                <td>Minimum antal signaturer
 per år</td>                                <td>500</td>    
                            <td>1 000</td>                  
              <td>2 000</td>                                <td>4
 000</td>","                                <td>Minimum yearly signatures</td>
                                <td>500</td>                
                <td>1 000</td>                              
  <td>2 000</td>                                <td>4 000</td>"
"_priceplanPageTableRow20","                                <td>Flerpartsavtal</td>     
                           <td>✓</td>                       
         <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Multi party contract</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow21","                                <td>Användarroller</td>     
                           <td>✓</td>                       
         <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>User roles</td>         
                       <td>✓</td>                           
     <td>✓</td>                                <td>✓</td>   
                             <td>✓</td>"
"_priceplanPageTableRow22","                                <td>Drag and drop</td>      
                          <td>✓</td>                        
        <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Drag and drop</td>      
                          <td>✓</td>                        
        <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow23","                                <td>Signeringsordning</td>  
                              <td>✓</td>                    
            <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Sign order</td>         
                       <td>✓</td>                           
     <td>✓</td>                                <td>✓</td>   
                             <td>✓</td>"
"_priceplanPageTableRow24","                                <td>Delat arkiv</td>        
                        <td>✓</td>                          
      <td>✓</td>                                <td>✓</td>  
                              <td>✓</td>","                                <td>Shared archive</td>     
                           <td>✓</td>                       
         <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow25","                                <td>Enkel Integration</td>  
                              <td></td>                     
           <td></td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Simple integration</td> 
                               <td></td>                    
            <td></td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTableRow26","                                <td>Massutskick</td>        
                        <td></td>                           
     <td></td>                                <td>✓</td>    
                            <td>✓</td>","                                <td>Mass send</td>          
                      <td></td>                             
   <td></td>                                <td>✓</td>      
                          <td>✓</td>"
"_priceplanPageTableRow27","                                <td>Brandad signeringssida</td>
                                <td></td>                   
             <td></td>                                <td></td>
                                <td>✓</td>","                                <td>Branded signing page</td>
                                <td></td>                   
             <td></td>                                <td></td>
                                <td>✓</td>"
"_priceplanPageTableRow28","                                <td>Brandat mail</td>       
                         <td></td>                          
      <td></td>                                <td></td>    
                            <td>✓</td>","                                <td>Branded e-mail</td>     
                           <td></td>                        
        <td></td>                                <td></td>  
                              <td>✓</td>"
"_priceplanPageTableRow29","                                <td>Fullt API</td>          
                      <td></td>                             
   <td></td>                                <td></td>       
                         <td>✓</td>","                                <td>Full API</td>           
                     <td></td>                              
  <td></td>                                <td></td>        
                        <td>✓</td>"
"_priceplanPageTableRow3","                                <td>Standardlagring</td>    
                            <td>500 dok</td>                
                <td>Obegränsad</td>                         
       <td>Obegränsad</td>                                <td>Obegränsad</td>","                                <td>Standard storage</td>   
                             <td>500 docs</td>              
                  <td>Unlimited</td>                        
        <td>Unlimited</td>                                <td>Unlimited</td>"
"_priceplanPageTableRow30","                                <td>Skapa egen process</td> 
                               <td></td>                    
            <td></td>                                <td></td>
                                <td>✓</td>","                                <td>Create own process</td> 
                               <td></td>                    
            <td></td>                                <td></td>
                                <td>✓</td>"
"_priceplanPageTableRow4","                                <td>Trustweaver premiumlagring</td>
                                <td>Uppgradera</td>         
                       <td>Uppgradera</td>                  
              <td>Offert</td>                               
 <td>Offert</td>","                                <td>Trustweaver premium storage</td>
                                <td>Upgrade</td>            
                    <td>Upgrade</td>                        
        <td>Offer</td>                                <td>Offer</td>"
"_priceplanPageTableRow5","                                <td>Uppstartsutbildning</td>
                                <td>0.5 h</td>              
                  <td>1 h</td>                              
  <td>2 x 1 h</td>                                <td>Offert</td>","                                <td>Startup training</td>   
                             <td>0.5 h</td>                 
               <td>1 h</td>                                <td>2
 x 1 h</td>                                <td>Offer</td>"
"_priceplanPageTableRow6","                                <td>Hjälp med konfiguration</td>
                                <td>1 h</td>                
                <td>2 h</td>                                <td>4
 h</td>                                <td>Offert</td>","                                <td>Configuration help</td> 
                               <td>1 h</td>                 
               <td>2 h</td>                                <td>4
 h</td>                                <td>Offer</td>"
"_priceplanPageTableRow7","                                <td>Support</td>            
                    <td>E-post</td>                         
       <td>Telefon</td>                                <td>Telefon</td>
                                <td>Personlig kontakt</td>","                                <td>Support</td>            
                    <td>E-mail</td>                         
       <td>Phone</td>                                <td>Phone</td>
                                <td>Peronal contact</td>"
"_priceplanPageTableRow8","                                <td>Avtals-, offert- eller orderprocess</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Contract, offer or order
 processes</td>                                <td>✓</td>   
                             <td>✓</td>                     
           <td>✓</td>                                <td>✓</td>"
"_priceplanPageTableRow9","                                <td>Tredjepartsverifiering</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>","                                <td>Third party verification</td>
                                <td>✓</td>                  
              <td>✓</td>                                <td>✓</td>
                                <td>✓</td>"
"_priceplanPageTitle","| Prisplan","| Priceplan"
