"!Template name","LANG_SE","LANG_EN"
"_PriceTablePriceRow","<td>                                                        
        <h4>35 kr/signatur</h4>                             
                                   <a href=""/priser"">Detaljerad
 prisplan</a>                                               
         </td>                                              
          <td>                                              
                  <h4>32.50 kr/signatur</h4>                
                                                <a href=""/priser"">Detaljerad
 prisplan</a>                                               
         </td>                                              
          <td>                                              
                  <h4>30 kr/signatur</h4>                   
                                             <a href=""/priser"">Detaljerad
 prisplan</a>                                               
                                                            </td>
                                                        <td>
                                                            
    <h4>Offert</h4>                                         
                       <a href=""/priser"">Detaljerad prisplan</a>
                                                        </td>","<td>                                                        
        <h4>£3.50/signature</h4>
                                    <a href=""/priser"">Detailed
 price plan</a>
          </td>                                             
           <td>                                             
                   <h4>£3.25/signature</h4>
                                                  <a href=""/priser"">Detailed
 price plan</a>
          </td>                                             
           <td>                                             
                   <h4>£3/signature</h4>
                                               <a href=""/priser"">Detailed
 price plan</a>
                                                            
 </td>                                                      
  <td>                                                      
          <h4>Offer</h4>                                    
                            <a href=""/priser"">Detailed price plan</a>
                                                        </td>"
"_PriceTableRow1","<td>5 användare</td>                                        
                <td>15 användare</td>                       
                                 <td>50 användare</td>      
                                                  <td>Offert</td>","<td>5 users</td>
                <td>15 users</td>
                                 <td>50 users</td>
                                                  <td>Offer</td>"
"_PriceTableRow2","<td>500 signaturer/år</td>                                  
                      <td>1000 signaturer/år</td>           
                                             <td>2000 signaturer/år</td>
                                                        <td>Från
 4000 signaturer/år</td>","<td>500 signatures/year</td>                                
                        <td>1000 signatures/year</td>       
                                                 <td>2000 signatures/year</td>
                                                        <td>From
 4000 signatures/year</td>"
"_PriceTableRow3","<td>500 dok laging</td>                                     
                   <td>Obegränsad lagring</td>              
                                          <td>Obegränsad lagring</td>
                                                        <td>Offert</td>","<td>500 doc storage</td>                                    
                    <td>Unlimited storage</td>              
                                          <td>Unlimited storage</td>
                                                        <td>Offer</td>"
"_PriceTableRow4","<td>Basfunktioner</td>                                      
                  <td>Basfunktioner</td>                    
                                    <td>Advancerade funktioner</td>
                                                        <td>Anpassad
 lösning</td>","<td>Basic features</td>                                     
                   <td>Basic features</td>                  
                                      <td>Advanced features</td>
                                                        <td>Custom
 solution</td>"
"_QuotesHead","Kunder berättar","Customer quotes"
"_StepsH3Send","Skicka","Send"
"_StepsH3SendBody","Ladda upp dokument,<br />välj mottagare, skicka!","Upload documents,<br />select recipient, send!"
"_StepsH3Sign","Skriva på","Sign"
"_StepsH3SignBody","Alla parter skriver på<br />elektroniskt.","All parties sign<br /> electronically."
"_StepsH3Store","Spara och arkivera","Save and archive"
"_StepsH3StoreBody","Vi sparar dina dokument<br />tryggt och säkert.","We save your documents<br />safely and securely."
"_firstPageMetaDescription","Signera och arkivera dina avtal elektroniskt. Spara tid, pengar
 och frustration – både åt dig och dina kunder.","Sign and store your contracts online. Save time, and money.  Reduce frustration.
 – both for yourself and your customers."
"_h1","Varför krångla? - Signera med $ourServiceName()$!","Why struggle? - Sign with $ourServiceName()$!"
"_h1Body","Signera avtal och andra dokument elektroniskt med SkrivaPå. <br
 />                                                Våra kunder
 och våra kunders kunder älskar enkelheten.                 
                               ","Sign contracts and other documents online with Scrive. <br />
                                                Our customers
 and our customers' customers just love the simplicity.     
                                           "
"_h3CreateAccount","Skapa konto nu!","Create account now!"
"_h3CreateAccountBody","1 månad full funktionalitet utan kostnad. Inga förpliktelser.","1 month full functionality free of charge. No obligations."
"_title","SkrivaPå | Signera och arkivera avtal elektroniskt","Scrive | Sign and store contracts online"
